Federal Provider Number,CT Credential Number,Level of Care,FACILITY NAME,FACILITY TELEPHONE,ADDRESS,TOWN,COUNTY,STATE,OWNERSHIP TYPE,MEDICARE CERTIFIED,MEDICAID CERTIFIED,Total Licensed Beds,Licensed CCNH Beds,Licensed CCNH Beds Occupied,Licensed RHNS Beds,Licensed RHNS Beds Occupied,CCNH Room Rate: PRIVATE (1 BED),CCNH Room Rate: SEMI-PRIVATE (2 BEDS),CCNH Room Rate: 3 - 4 BEDS,RHNS Room Rate: PRIVATE (1 BED),RHNS Room Rate: SEMI-PRIVATE (2 BEDS),RHNS Room Rate: 3 - 4 BEDS,Total number of patients,<18,18 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85 - 94,95 and older,Unknown age,Male,Female,Unknown gender,Married,Never married,Widowed,Separated,Divorced,Unknown marital status,White,African American,Hispanic or Latino Origin,American Indian or Alaskan Native,Asian or Pacific Islander,Other or Unknown,Medicaid fee-for-service -- CT,Medicaid fee-for-service -- Out of state,Medicaid managed care -- Out of state,Medicaid pending -- CT,Medicaid pending -- Out of state,Medicare fee-for-service (traditional),Medicare managed care,Veterans administration,CCRC -- Life Care,Long-term care insurance --  CT Partnership for Long-Term Care,Long-Term care insurance -- Not CT Partnership,Private insurance (not long-term care),Private pay (no insurance),Unknown Payment Source,Reporting Year,New Georeferenced Column
,,CCNH,RegalCare at West Haven,(203) 654-2100,310 Terrace Avenue,West Haven,NEW_HAVEN,CT,For Profit,true,true,98,98,98,0,0,422,380,,,,,98,0,0,0,2,3,23,30,23,16,1,0,48,50,0,17,28,30,0,23,0,59,30,9,0,0,0,75,0,0,4,0,13,4,0,0,0,0,2,0,0,2018,POINT (-72.969025 41.283035)
,,CCNH,RegalCare at Southport,(203) 259-7894,930 Mill Hill Terrace,Southport,FAIRFIELD,CT,For Profit,true,true,120,120,113,0,0,500,460,,,,,113,0,0,0,3,10,18,35,33,10,4,0,56,57,0,10,64,16,2,21,0,77,23,11,0,2,0,88,0,0,7,0,13,1,0,0,0,0,0,4,0,2018,POINT (-73.286615 41.144380000000005)
,,CCNH,Branford Hills Health Care Center,(203) 481-6221,189 Alps Road,Branford,NEW_HAVEN,CT,For Profit,true,true,190,190,179,0,0,410,375,,,,,179,0,0,0,0,3,11,13,31,93,28,0,39,140,0,32,17,110,0,20,0,175,3,0,0,0,1,135,0,0,0,0,18,6,0,0,0,0,4,16,0,2013,POINT (-72.846696 41.264185)
75241,2280,CCNH,River Glen Health Care Center,(203) 264-9600,162 South Britain Road,Southbury,NEW_HAVEN,CT,For Profit,true,true,120,120,103,0,0,527,463,,,,,103,0,0,0,0,0,1,12,27,49,14,0,33,70,0,30,13,48,0,12,0,101,1,1,0,0,0,46,0,0,10,0,16,14,0,0,1,3,1,12,0,2019,POINT (-73.238498 41.461186)
,,CCNH,Trinity Hill Care Center,(860) 951-1060,151 Hillside Avenue,Hartford,HARTFORD,CT,For Profit,true,true,144,144,140,0,0,414,389,,,,,140,0,0,3,15,28,56,24,10,4,0,0,91,49,0,9,101,10,0,20,0,42,35,61,2,0,0,130,0,0,1,0,7,0,0,0,0,0,0,0,2,2013,POINT (-72.698044 41.748736)
,,CCNH,Valerie Manor,(860) 489-1008,1360 Torringford Street,Torrington,LITCHFIELD,CT,For Profit,true,true,151,151,142,0,0,572,550,,,,,142,0,0,0,1,4,10,22,34,59,12,0,40,102,0,35,14,64,0,29,0,139,0,0,0,1,2,99,0,0,4,0,14,7,0,0,0,0,3,15,0,2018,POINT (-73.079132 41.827508)
75084,1006C,CCNH,"Villa Maria Nursing and Rehabilitation Community, Inc.",(860) 564-3387,20 Babcock Avenue,Plainfield,WINDHAM,CT,For Profit,true,true,62,62,55,0,0,345,315,290,,,,55,0,0,0,0,0,0,4,18,22,11,0,11,44,0,10,1,42,0,2,0,54,0,1,0,0,0,38,0,0,1,0,11,3,0,0,0,0,0,2,0,2019,POINT (-71.917758 41.678696)
,,CCNH,Jewish Senior Services,(203) 365-6400,4200 Park Avenue,Bridgeport,FAIRFIELD,CT,Non-profit,true,true,360,360,320,0,0,495,475,,,,,320,0,0,0,0,0,2,17,75,167,59,0,67,253,0,55,25,200,2,38,0,318,2,0,0,0,0,229,0,0,4,0,18,9,2,0,0,0,1,57,0,2015,POINT (-73.23149 41.212038)
,,CCNH,Shady Knoll Health Center,(203) 881-2555,41 Skokorat Street,Seymour,NEW_HAVEN,CT,For Profit,true,true,128,128,126,0,0,461,451,,,,,126,0,0,0,0,2,10,6,23,66,19,0,22,104,0,29,15,77,1,4,0,121,3,2,0,0,0,87,0,0,2,0,12,7,0,0,0,0,1,17,0,2014,POINT (-73.055532 41.401644)
,,CCNH,Westport Rehabilitation Complex,(203) 226-4201,1 Burr Road,Westport,FAIRFIELD,CT,For Profit,true,true,120,120,106,0,0,509,457,,,,,106,0,0,0,0,4,20,26,37,13,6,0,48,58,0,9,42,25,0,30,0,76,21,7,0,0,2,82,0,0,2,0,11,3,0,0,0,0,3,5,0,2016,POINT (-73.367176 41.136945)
,,CCNH,Pomperaug Woods Health Center,(203) 262-6555,80 Heritage Road,Southbury,NEW_HAVEN,CT,Non-profit,true,false,37,37,35,0,0,523.5,462.5,,,,,35,0,0,0,0,0,0,0,0,25,10,0,9,26,0,6,2,25,0,2,0,35,0,0,0,0,0,0,0,0,0,0,4,0,0,26,1,0,0,4,0,2017,POINT (-73.217482 41.482196)
75371,699C,CCNH,The Lutheran Home of Southbury,(203) 264-9135,990 Main Street North,Southbury,NEW_HAVEN,CT,Non-profit,true,true,120,120,114,0,0,440,430,380,,,,114,0,0,0,0,0,2,8,29,59,16,0,30,84,0,24,8,70,0,12,0,113,0,1,0,0,0,72,0,0,5,0,16,3,0,0,1,2,0,15,0,2019,POINT (-73.21103 41.504094)
,,CCNH,Greenwich Woods Health Care Center,(203) 531-1335,1165 King Street,Greenwich,FAIRFIELD,CT,For Profit,true,true,217,217,198,0,0,488,467,,,,,198,0,0,0,9,6,15,59,85,24,0,0,52,146,0,38,31,108,2,19,0,182,9,5,0,2,0,128,0,0,9,0,34,5,0,0,0,0,4,13,5,2013,POINT (-73.694388 41.05959200000001)
,,RHNS,Marshall Lane Manor,(203) 734-3393,101 Marshall Lane,Derby,NEW_HAVEN,CT,For Profit,true,true,120,0,0,120,112,,,,210,190,185,112,0,0,0,0,2,2,14,39,49,6,0,29,83,0,3,29,65,1,14,0,106,2,3,1,0,0,92,0,0,7,0,0,0,0,0,1,0,12,0,0,2013,POINT (-73.051417 41.317687)
,,CCNH,Autumn Lake Healthcare at Bucks Hill,(203) 757-0731,2817 North Main Street,Waterbury,NEW_HAVEN,CT,For Profit,true,true,90,90,84,0,0,380,350,,,,,84,0,0,0,0,0,7,13,20,38,6,0,25,59,0,22,9,38,2,13,0,71,5,8,0,0,0,72,0,0,1,0,4,1,0,0,0,0,0,6,0,2017,POINT (-73.02705 41.592653)
,,CCNH,Bloomfield Health Care Center,(860) 242-8595,355 Park Avenue,Bloomfield,HARTFORD,CT,For Profit,true,true,120,120,100,0,0,409,380,,,,,100,0,0,0,3,4,8,22,26,28,9,0,57,43,0,28,25,22,0,25,0,11,35,4,0,0,50,81,0,0,4,0,8,7,0,0,0,0,0,0,0,2017,POINT (-72.713086 41.822502)
,,CCNH,Apple Rehab Farmington Valley,(860) 747-1637,269 Farmington Avenue,Plainville,HARTFORD,CT,For Profit,true,true,150,150,121,0,0,430,405,,,,,121,0,0,1,2,4,4,15,32,49,14,0,32,89,0,24,22,58,0,17,0,110,2,1,0,0,8,65,0,0,7,0,24,17,0,0,0,0,0,7,1,2013,POINT (-72.852841 41.685968)
,,CCNH,Caleb Hitchcock Health Center at Duncaster,(860) 726-2399,10 Loeffler Road,Bloomfield,HARTFORD,CT,Non-profit,true,false,60,60,58,0,0,465,,,,,,58,0,0,0,0,0,1,2,10,33,12,0,21,37,0,20,2,33,1,2,0,58,0,0,0,0,0,0,0,0,0,0,9,2,0,34,0,0,0,13,0,2016,POINT (-72.758049 41.830329)
,,CCNH,Shady Knoll Health Center,(203) 881-2555,41 Skokorat Street,Seymour,NEW_HAVEN,CT,For Profit,true,true,128,128,126,0,0,539,529,,,,,126,0,0,3,1,4,8,26,23,48,13,0,48,78,0,33,23,50,0,20,0,115,7,4,0,0,0,84,0,0,2,0,12,3,17,0,0,0,0,8,0,2017,POINT (-73.055532 41.401644)
,,CCNH,Ellis Manor,(860) 296-9166,210 George Street,Hartford,HARTFORD,CT,For Profit,true,true,105,105,85,0,0,435,395,,,,,85,0,0,0,2,3,11,20,25,19,5,0,35,50,0,9,34,24,0,18,0,31,9,41,0,1,3,69,0,0,5,0,8,1,0,0,0,0,0,2,0,2017,POINT (-72.678464 41.731611)
,,CCNH,Apple Rehab Avon d/b/a Brightview Nursing and Retirement,(860) 673-3265,220 Scoville Road,Avon,HARTFORD,CT,For Profit,true,true,60,60,46,0,0,424,410,,,,,46,0,0,0,0,0,4,4,15,19,4,0,16,30,0,18,4,20,0,4,0,43,1,0,0,2,0,24,0,1,2,0,7,4,0,0,1,1,1,5,0,2017,POINT (-72.860962 41.7759)
,,CCNH/RHNS,"Aurora Senior Living of Cromwell, LLC",(860) 635-5613,385 Main Street,Cromwell,MIDDLESEX,CT,For Profit,true,true,175,174,145,1,0,401.47,375,,401.47,375,,145,0,0,1,2,24,36,41,19,20,2,0,82,63,0,16,74,23,0,32,0,121,14,9,1,0,0,118,0,0,5,0,12,2,0,0,0,0,0,2,6,2014,POINT (-72.646205 41.600635)
,,CCNH,Manchester Manor Health Care Center,(860) 646-0129,385 West Center Street,Manchester,HARTFORD,CT,For Profit,true,true,126,126,110,0,0,401,368,,,,,110,0,0,0,0,0,1,3,25,66,15,0,31,79,0,20,10,68,2,10,0,106,2,1,1,0,0,52,0,0,10,0,14,4,0,9,0,0,1,19,1,2013,POINT (-72.552621 41.769734)
,,CCNH,Westfield Care and Rehabilitation Center,(203) 238-1291,65 Westfield Road,Meriden,NEW_HAVEN,CT,For Profit,true,true,90,90,84,0,0,434,387,365,,,,84,0,0,0,0,3,5,13,23,28,12,0,27,57,0,12,12,46,2,12,0,69,1,11,2,1,0,60,0,0,5,0,4,8,0,0,0,0,0,7,0,2016,POINT (-72.780579 41.547965)
75413,2183C,CCNH,Northbridge Healthcare Center,(203) 336-0232,2875 Main Street,Bridgeport,FAIRFIELD,CT,For Profit,true,true,145,145,139,0,0,562,542,,,,,139,0,0,1,1,3,22,33,40,32,7,0,54,85,0,20,45,46,3,25,0,42,58,37,0,1,1,115,0,0,5,0,9,9,0,0,0,0,0,1,0,2019,POINT (-73.203493 41.201508)
,,CCNH/RHNS,Chestelm Health and Rehabilitation Center,(860) 873-6533,"534 Town Street, P.O. Box 719",Moodus,MIDDLESEX,CT,For Profit,true,true,76,63,59,13,11,375,350,,300,275,260,70,0,0,0,0,0,0,5,21,35,9,0,21,49,0,15,4,40,0,11,0,70,0,0,0,0,0,38,0,0,3,0,9,1,0,0,2,0,0,17,0,2017,POINT (-72.446752 41.485388)
75370,2061C,CCNH,Bridgeport Health Care Center,(203) 384-6400,600 Bond Street,Bridgeport,FAIRFIELD,CT,For Profit,true,true,240,240,180,0,0,440,420,400,,,,180,0,0,0,3,8,37,56,48,25,3,0,86,94,0,18,78,32,0,52,0,68,53,56,0,2,1,170,0,0,4,0,2,0,0,0,0,0,0,4,0,2019,POINT (-73.167047 41.20101)
75069,2386,CCNH,RegalCare at Greenwich,(203) 531-8300,1188 King Street,Greenwich,FAIRFIELD,CT,For Profit,true,true,75,75,66,0,0,500,485,,,,,66,0,0,0,0,1,11,16,23,8,7,0,22,44,0,3,28,19,2,14,0,46,13,6,0,1,0,46,3,0,5,0,10,1,0,0,0,0,0,1,0,2019,POINT (-73.69491 41.062693)
,,CCNH,St. Joseph's Center,(203) 268-6204,6448 Main Street,Trumbull,FAIRFIELD,CT,For Profit,true,true,274,274,250,0,0,510,460,,,,,250,0,0,1,2,1,14,33,54,112,33,0,68,182,0,37,61,121,1,30,0,217,19,10,0,2,2,190,0,0,9,0,20,9,0,0,0,0,0,16,6,2014,POINT (-73.226931 41.27423)
75320,2322,CCNH,St. Camillus Center,(203) 325-0200,494 Elm Street,Stamford,FAIRFIELD,CT,For Profit,true,true,124,124,111,0,0,552,497,,,,,111,0,0,0,0,9,10,26,30,31,5,0,45,66,0,21,31,19,0,13,27,52,32,17,0,1,9,92,0,0,9,0,2,3,0,0,0,0,0,5,0,2019,POINT (-73.526723 41.049972)
,,CCNH/RHNS,Noble Horizons,(860) 435-9851,17 Cobble road,Salisbury,LITCHFIELD,CT,Non-profit,true,true,91,61,61,30,29,490,460,,455,,,90,0,0,0,0,0,2,8,23,48,9,0,27,63,0,13,6,55,0,16,0,89,0,0,0,1,0,53,0,0,7,0,4,0,0,0,0,0,0,26,0,2016,POINT (-73.42822 41.988049)
,,CCNH,Cassena Care at Norwalk,(203) 853-0010,23 Prospect Avenue,Norwalk,FAIRFIELD,CT,For Profit,true,true,150,150,128,0,0,460,412,,,,,128,0,1,1,1,9,25,43,34,14,0,0,59,69,0,12,65,23,0,28,0,80,34,12,1,0,1,95,0,0,9,0,18,0,0,0,0,0,3,3,0,2014,POINT (-73.422102 41.114044)
,,CCNH,The Lutheran Home of Southbury,(203) 264-9135,990 Main Street North,Southbury,NEW_HAVEN,CT,Non-profit,true,true,120,120,114,0,0,440,430,,150,,,114,0,0,0,0,1,1,2,20,55,35,0,24,90,0,60,26,0,3,25,0,114,0,0,0,0,0,85,0,0,4,0,7,2,0,0,0,0,16,0,0,2018,POINT (-73.21103 41.504094)
,,CCNH,"Hughes Health and Rehabilitation, Inc.",(860) 236-5623,29 Highland Street,West Hartford,HARTFORD,CT,For Profit,true,true,170,170,144,0,0,454,401,,,,,144,0,0,0,0,1,8,16,36,71,12,0,54,90,0,31,33,62,0,18,0,109,21,5,0,6,3,87,0,0,8,0,21,5,4,0,0,0,0,19,0,2017,POINT (-72.718027 41.767504)
,,CCNH,Maple View Center for Health and Rehabilitation,(860) 563-2861,856 Maple Street,Rocky Hill,HARTFORD,CT,For Profit,true,true,120,120,120,0,0,414,374,,,,,120,0,0,0,0,1,1,12,42,55,9,0,24,96,0,24,22,65,9,0,0,106,8,5,1,0,0,81,0,0,7,0,16,5,0,0,0,0,1,8,2,2013,POINT (-72.666639 41.673965)
,,CCNH,Yale Health In-Patient Care,(203) 432-0004,"55 Lock Street, P.O. Box 208237",New Haven,NEW_HAVEN,CT,Non-profit,false,false,4,4,1,0,0,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,POINT (-72.928332 41.31551)
,,CCNH,Village Green of Bristol Rehabilitation and Health Center,(860) 589-2923,23 Fair Street,Bristol,HARTFORD,CT,For Profit,true,true,120,120,95,0,0,375,348,321,,,,95,0,2,2,3,9,16,13,21,24,5,0,48,47,0,22,28,28,1,16,0,82,8,4,0,1,0,66,0,0,4,0,14,1,5,0,0,0,3,1,1,2015,POINT (-72.902506 41.679856)
75334,991C,CCNH,Vernon Manor Health Care Center,(860) 871-0385,180 Regan Road,Vernon,TOLLAND,CT,For Profit,true,true,120,120,104,0,0,448,415,,,,,104,0,0,0,1,0,2,7,32,50,12,0,27,77,0,23,6,61,0,14,0,99,1,1,0,1,2,58,0,0,11,0,7,11,0,0,0,0,0,17,0,2019,POINT (-72.477917 41.852217)
,,CCNH,"Leeway, Inc.",(203) 865-0068,40 Albert Street,New Haven,NEW_HAVEN,CT,Non-profit,true,true,30,30,29,0,0,450,,,,,,29,0,0,2,3,5,13,6,0,0,0,0,22,7,0,2,20,2,2,3,0,8,14,7,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,POINT (-72.89634 41.326544)
75272,901C,CCNH/RHNS,St. Joseph's Residence,(860) 741-0791,1365 Enfield Street,Enfield,HARTFORD,CT,Non-profit,true,true,83,25,25,58,57,400,,,150,,,82,0,0,0,0,0,1,7,22,39,13,0,15,67,0,15,13,46,0,8,0,79,0,1,0,2,0,71,0,0,0,0,1,0,0,0,0,0,0,10,0,2019,POINT (-72.592407 41.972614)
,,CCNH/RHNS,Noble Horizons,(860) 435-9851,17 Cobble road,Salisbury,LITCHFIELD,CT,Non-profit,true,true,91,61,58,30,28,460,425,,420,,,86,0,0,0,0,2,0,6,25,41,12,0,17,69,0,14,5,58,0,9,0,85,0,0,0,1,0,47,0,0,4,0,9,0,0,0,0,0,1,25,0,2013,POINT (-73.42822 41.988049)
,,CCNH,Cassena Care at New Britain,(860) 225-8608,66 Clinic Drive,New Britain,HARTFORD,CT,For Profit,true,true,90,90,84,0,0,455,415,,,,,84,0,0,0,0,4,12,16,30,18,4,0,32,52,0,13,9,33,1,13,15,47,13,13,1,0,10,68,0,0,6,0,4,3,0,0,0,1,1,1,0,2017,POINT (-72.786309 41.648365)
,,CCNH,"Kettle Brook Care Center, dba Fresh River Healthcare",(860) 623-9846,96 Prospect Hill Road,East Windsor,HARTFORD,CT,For Profit,true,true,140,140,129,0,0,457,428,,,,,129,0,0,1,3,13,33,37,24,15,3,0,62,67,0,16,67,21,1,24,0,98,22,9,0,0,0,117,0,0,3,0,0,0,0,0,0,0,0,2,7,2015,POINT (-72.606229 41.925372)
,,CCNH,Fairview,(860) 445-7478,235 Lestertown Road,Groton,NEW_LONDON,CT,Non-profit,true,true,120,120,117,0,0,382,340.35,,,,,117,0,0,0,0,0,2,10,23,66,16,0,26,91,0,20,7,81,0,9,0,114,1,1,0,1,0,73,0,0,2,0,13,1,0,0,0,0,0,28,0,2013,POINT (-72.083057 41.372077)
75294,2443,CCNH,Whispering Pines Rehabilitation and Nursing Center LLC,(203) 469-2316,38 Talmadge Avenue,East Haven,NEW_HAVEN,CT,For Profit,true,true,90,90,85,0,0,427,391,,,,,85,0,0,0,0,0,4,13,29,34,5,0,25,60,0,10,12,42,1,20,0,73,8,3,0,1,0,63,0,0,4,0,6,3,0,0,0,0,0,5,4,2019,POINT (-72.86361 41.263459)
,,CCNH,Apple Rehab Saybrook,(860) 399-6216,1775 Boston Post Road,Old Saybrook,MIDDLESEX,CT,For Profit,true,true,120,120,99,0,0,395,379,,,,,99,0,0,0,2,0,10,15,27,35,10,0,37,62,0,23,17,42,0,17,0,98,0,1,0,0,0,64,0,0,7,0,13,4,0,0,0,3,0,8,0,2017,POINT (-72.420475 41.28446)
,,CCNH,Bridgeport Manor,(203) 384-6500,540 Bond Street,Bridgeport,FAIRFIELD,CT,For Profit,true,true,240,240,218,0,0,305,295,275,,,,218,0,0,0,4,21,55,59,41,34,4,0,127,91,0,19,84,64,0,51,0,116,61,40,0,1,0,174,0,0,8,0,10,0,22,0,0,0,0,3,1,2013,POINT (-73.167085 41.200764)
,,CCNH,The Bradley Home,(203) 235-5716,320 Colony Street,Meriden,NEW_HAVEN,CT,Non-profit,true,true,30,30,29,0,0,400,400,,,,,29,0,0,0,0,0,0,0,6,11,12,0,2,27,0,0,3,21,0,5,0,29,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,6,0,2018,POINT (-72.795609 41.545942)
75348,2434,CCNH,Advanced Nursing and Rehabilitation Center of New Haven,(203) 789-1650,169 Davenport Avenue,New Haven,NEW_HAVEN,CT,For Profit,true,true,226,226,204,0,0,420,395,395,,,,204,0,0,3,3,18,54,62,39,23,2,0,114,90,0,18,107,29,2,48,0,47,83,23,0,0,51,170,0,0,5,0,25,1,0,0,0,0,0,3,0,2019,POINT (-72.93908900000001 41.302291)
,,CCNH,Westfield Care and Rehabilitation Center,(203) 238-1291,65 Westfield Road,Meriden,NEW_HAVEN,CT,For Profit,true,true,100,100,73,0,0,434,387,365,,,,73,0,0,0,1,4,4,11,21,27,5,0,30,43,0,19,14,26,2,12,0,53,4,8,0,2,6,51,0,0,8,0,5,3,0,0,2,0,0,4,0,2018,POINT (-72.780579 41.547965)
,,CCNH,Davis Place,(860) 774-9540,111 Westcott Road,Danielson,WINDHAM,CT,For Profit,true,true,190,190,155,0,0,357,336,,,,,155,0,0,0,3,5,20,37,44,40,6,0,95,60,0,14,12,113,4,12,0,148,2,4,1,0,0,113,0,0,8,0,12,7,0,0,0,0,4,11,0,2017,POINT (-71.873842 41.809353)
,,CCNH,Brookview Corp.  d/b/a West Hartford Health and Rehabilitation Center,(860) 521-8700,130 Loomis Drive,West Hartford,HARTFORD,CT,For Profit,true,true,160,160,135,0,0,470,413,,,,,135,0,0,0,1,2,15,24,37,52,4,0,52,83,0,36,34,40,3,22,0,87,28,13,0,7,0,94,0,0,6,0,14,11,0,0,0,0,0,8,2,2015,POINT (-72.73995 41.76687)
,,CCNH,Meriden Center,(203) 238-2645,845 Paddock Avenue,Meriden,NEW_HAVEN,CT,For Profit,true,true,130,130,97,0,0,487.5,437.5,,,,,97,0,0,0,0,8,12,26,23,22,6,0,34,63,0,15,31,40,2,9,0,76,7,14,0,0,0,80,0,0,6,0,5,1,0,0,0,0,0,5,0,2017,POINT (-72.777296 41.50681)
,,CCNH,Cassena Care of Stamford,(203) 351-8323,53 Courtland Avenue,Stamford,FAIRFIELD,CT,For Profit,true,true,156,156,138,0,0,500,465,,,,,138,0,0,1,0,6,21,33,32,36,9,0,58,80,0,36,34,46,0,22,0,78,39,19,1,1,0,92,0,0,5,0,24,5,3,0,0,0,0,8,1,2016,POINT (-73.514114 41.060582)
,,CCNH,Apple Rehab of Rocky Hill,(860) 529-8661,45 Elm Street,Rocky Hill,HARTFORD,CT,For Profit,true,true,120,120,84,0,0,430,386,,,,,84,0,0,0,0,5,5,14,16,27,17,0,22,62,0,26,13,38,0,7,0,77,4,1,0,2,0,46,0,0,4,0,17,8,0,0,0,0,2,7,0,2016,POINT (-72.641595 41.664617)
,,CCNH,"Windsor Health and Rehabilitation Center, LLC",(860) 688-7211,581 Poquonock Avenue,Windsor,HARTFORD,CT,For Profit,true,true,108,108,81,0,0,456,424,,,,,81,0,0,0,1,3,17,10,16,22,12,0,31,50,0,8,19,43,0,11,0,52,26,3,0,0,0,60,0,0,4,0,9,4,0,0,0,0,0,4,0,2016,POINT (-72.658685 41.86911)
,,CCNH,Pendleton Health and Rehabilitation Center,(860) 572-1700,44 Maritime Drive,Mystic,NEW_LONDON,CT,For Profit,true,true,120,120,112,0,0,513,452.5,,,,,112,0,1,0,1,9,10,31,28,27,5,0,53,59,0,35,24,33,3,17,0,98,11,2,1,0,0,48,0,0,18,0,25,2,5,0,1,1,7,5,0,2016,POINT (-71.950839 41.369335)
,,CCNH,Newington Rapid Recovery Rehab Center,(860) 667-2256,240 Church Street,Newington,HARTFORD,CT,For Profit,true,true,180,180,158,0,0,475,430,,,,158,158,0,0,0,0,2,15,23,48,59,11,0,50,108,0,29,35,66,1,27,0,126,16,15,0,1,0,122,0,0,7,0,9,5,0,0,0,0,0,7,8,2015,POINT (-72.73936300000001 41.665919)
,,CCNH,Portland  Care and Rehabilitation Centre,(860) 342-0370,333 Main Street,Portland,MIDDLESEX,CT,For Profit,true,true,65,65,56,0,0,385,365,,,,,56,0,0,0,0,0,1,7,11,24,13,0,11,45,0,9,12,29,0,6,0,22,0,0,0,1,33,31,0,0,2,0,9,1,0,0,0,0,0,12,1,2015,POINT (-72.636328 41.578561)
,,CCNH,Abbott Terrace Health Center,(203) 755-4870,44 Abbott Terrace,Waterbury,NEW_HAVEN,CT,For Profit,true,true,205,205,192,0,0,492,472,,,,,192,0,0,2,1,6,27,43,54,46,13,0,68,124,0,40,39,73,7,33,0,112,50,28,0,1,1,164,0,0,7,0,10,8,0,0,0,0,2,1,0,2015,POINT (-73.038022 41.556464)
,,CCNH,Kimberly Hall South,(860) 688-6443,One Emerson Drive,Windsor,HARTFORD,CT,For Profit,true,true,132,132,95,0,0,398,380,353,,,,95,0,0,0,0,1,15,27,22,25,5,0,41,54,0,24,17,30,0,24,0,52,34,5,1,1,2,56,0,0,15,0,13,7,0,0,0,0,1,3,0,2018,
,,CCNH/RHNS,Silver Springs Care Center,(203) 237-8457,33 Roy Street,Meriden,NEW_HAVEN,CT,For Profit,true,true,159,157,151,2,2,,434,408,,434,408,153,0,0,2,4,17,55,46,23,6,0,0,86,67,0,12,102,8,3,28,0,111,30,11,0,1,0,132,0,0,2,0,6,0,13,0,0,0,0,0,0,2013,POINT (-72.804701 41.525279)
,,CCNH,Astoria Park,(203) 366-3653,725 Park Avenue,Bridgeport,FAIRFIELD,CT,For Profit,true,true,135,135,105,0,0,281,271,251,,,,105,0,0,0,1,4,17,28,20,31,4,0,42,63,0,22,31,28,2,22,0,29,45,28,0,3,0,86,0,0,5,0,7,4,0,0,0,0,0,0,3,2015,POINT (-73.19634900000001 41.171871)
,,CCNH,Newington Health Care Center,(860) 667-2256,240 Church Street,Newington,HARTFORD,CT,For Profit,true,true,180,180,152,0,0,440,385,,,,,152,0,0,0,1,4,20,24,44,43,16,0,53,99,0,33,30,62,0,27,0,122,11,19,0,0,0,121,0,0,5,0,12,4,0,0,0,0,2,8,0,2013,POINT (-72.73936300000001 41.665919)
,,CCNH,Beacon Brook Health Center,(203) 729-9889,89 Weid Drive,Naugatuck,NEW_HAVEN,CT,For Profit,true,true,126,126,123,0,0,527,512,,,,,123,0,0,2,0,6,10,21,30,43,11,0,40,83,0,25,22,60,0,16,0,105,12,6,0,0,0,94,0,0,6,0,12,6,0,0,0,0,0,4,1,2017,POINT (-73.031936 41.469642)
,,CCNH/RHNS,"Miller Memorial Community, Inc.",(203) 237-8815,360 Broad Street,Meriden,NEW_HAVEN,CT,Non-profit,true,true,90,85,68,5,0,455,420,,355,355,,68,0,0,0,0,1,5,8,14,28,12,0,18,50,0,11,11,33,0,13,0,58,6,4,0,0,0,54,0,0,1,0,6,0,0,0,0,0,0,7,0,2017,POINT (-72.795275 41.530336)
,,CCNH,Edgehill,(203) 595-2400,122 Palmers Hill Road,Stamford,FAIRFIELD,CT,For Profit,true,false,46,46,41,0,0,635,588,,,,,41,0,0,0,0,0,0,4,13,23,1,0,13,28,0,11,1,28,0,1,0,41,0,0,0,0,0,25,0,0,0,0,0,1,0,7,0,0,1,7,0,2018,POINT (-73.565584 41.059385)
,,CCNH/RHNS,Chestelm Health and Rehabilitation Center,(860) 873-6533,"534 Town Street, P.O. Box 719",Moodus,MIDDLESEX,CT,For Profit,true,true,76,63,62,13,13,375,350,,300,275,260,75,0,0,0,0,0,0,3,27,39,6,0,21,54,0,16,8,38,0,13,0,71,3,1,0,0,0,47,0,0,0,0,7,3,0,0,3,0,0,15,0,2018,POINT (-72.446752 41.485388)
,,CCNH,Apple Rehab Shelton Lakes,(203) 924-2635,5 Lake Road,Shelton,FAIRFIELD,CT,For Profit,true,true,109,106,85,3,3,443,403,,206,179,,88,0,0,0,1,2,5,5,20,42,13,0,24,64,0,15,13,49,2,9,0,80,3,3,0,1,1,67,0,0,2,0,6,2,0,0,0,0,0,11,0,2015,POINT (-73.115165 41.313756)
,,CCNH/RHNS,Litchfield Woods Health Care Center,(860) 489-5801,255 Roberts Street,Torrington,LITCHFIELD,CT,For Profit,true,true,160,130,129,30,29,537,517,,562,527,,158,0,0,0,1,2,15,24,32,58,26,0,47,111,0,27,32,84,0,15,0,155,0,2,0,1,0,109,0,0,7,0,27,5,0,0,0,0,3,7,0,2017,POINT (-73.141224 41.808768)
,,CCNH,Lord Chamberlain Nursing & Rehabilitation Center,(203) 375-5894,7003 Main Street,Stratford,FAIRFIELD,CT,For Profit,true,true,190,190,190,0,0,522,459,,,,,190,0,0,0,0,2,5,17,49,83,34,0,51,139,0,38,23,104,9,16,0,171,14,4,0,1,0,132,0,0,8,0,16,9,0,0,0,0,0,25,0,2018,POINT (-73.100682 41.251009)
