FACID,FACILITY_TYPE,LIC#,LICENSED_NAME,ALPHA_NAME,ADDRESS,FAC_ADDR_2,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,TELEPHONE,FAXPHONE,FACEMAIL,LIC_EXPIRES,LICENSED_OWNER,OWNADDR,owncsz,OwnDesc,ADMIN,TITLE,RunDate,HospBedTotal
NJ313519,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1041,TRINITAS RENAL DIALYSIS SATELLITE,TRINITAS RENAL DIALYSIS SATELLITE,629 LIVINGSTON STREET, ,ELIZABETH,NJ,07206,"ELIZABETH, NJ  07206",UNION,(908) 994-5754,(908) 994-5756,jmcternan@trinitas.org,8/31/2020,TRINITAS REGIONAL MEDICAL CENTER,225 WILLIAMSON STREET,"ELIZABETH, NJ  07207",Non-Profit - Hospital,Mr. GARY HORAN,Pres. & CEO,6/17/2020,
NJ1049,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1049,TRINITAS SUBSTANCE ABUSE CLINIC,TRINITAS SUBSTANCE ABUSE CLINIC,655 EAST JERSEY STREET, ,ELIZABETH,NJ,07206,"ELIZABETH, NJ  07206",UNION,(908) 994-5754,(908) 994-5756,ghoran@trinitas.org,8/31/2020,TRINITAS REGIONAL MEDICAL CENTER,225 WILLIAMSON STREET,"ELIZABETH, NJ  07207",Non-Profit - Hospital,Mr. GARY HORAN,Pres. & CEO,6/17/2020,
NJ90080,SURGICAL PRACTICE,R24601,TRI-STATE SURGERY CENTER LLC,TRI-STATE SURGERY CENTER,3 WINSLOW PLACE, ,PARAMUS,NJ,07652,"PARAMUS, NJ  07652",BERGEN,(201) 546-1890,(201) 546-1893,drg@gartnerplasticsurgery.com,8/31/2020,TRI-STATE SURGERY CENTER,3 WINSLOW PLACE,"PARAMUS, NJ  07652",Profit - Corporation,Dr. MICHAEL GARTNER,,6/17/2020,
NJ31C0001029,AMBULATORY SURGICAL CENTER,R24533,TROCKI PLASTIC SURGERY CENTER PA,TROCKI PLASTIC SURGERY CENTER,631 TILTON ROAD, ,NORTHFIELD,NJ,08225,"NORTHFIELD, NJ  08225",ATLANTIC,(609) 645-3000,(609) 645-0253,drtrocki@aol.com,7/31/2020,"TROCKI SURGI CENTER, P.A.",631 TILTON ROAD,"NORTHFIELD, NJ  08225",Profit - Corporation,Dr. IRA TROCKI,,6/17/2020,
NJR24810,AMBULATORY SURGICAL CENTER,R24810,TWO RIVERS SURGERY CENTER L.L.C.,TWO RIVERS SURGERY CENTER LLC,194 ROUTE 35 SOUTH, ,RED BANK,NJ,07701,"RED BANK, NJ  07701",MONMOUTH,(732) 242-4000,(732) 383-6815,julie@tworiversurgery.com,1/31/2021,"TWO RIVERS SURGERY CENTER, L.L.C.",194 ROUTE 35 SOUTH,"RED BANK, NJ  07701",Profit - LLC,Ms. JULIE MUSTO,,6/17/2020,
NJ25038,END STAGE RENAL DIALYSIS,25038,U.S. RENAL CARE PENNS GROVE DIALYSIS,US RENAL CARE PENNS GROVE DIALYSIS,"1 COLLINS DRIVE, SUITE 105", ,CARNEYS POINT,NJ,08069,"CARNEYS POINT, NJ  08069",SALEM,(615) 330-6451,(214) 736-2733,lstewart@usrenalcare.com,10/31/2020,"USRC PENNS GROVE, LLC",1 COLLINS DRIVE,"CARNEYS POINT, NJ  08069",Profit - LLC,Dr. ELIS DE A. PRIORI,,6/17/2020,
NJ25030,END STAGE RENAL DIALYSIS,25030,U.S. RENAL CARE VOORHEES DIALYSIS,U S RENAL CARE VOORHEES DIALYSIS,"1000 HADDONFIELD BERLIN ROAD, SUITE 100", ,VOORHEES,NJ,08043,"VOORHEES, NJ  08043",CAMDEN,(615) 336-6451,(214) 736-2733,lstewart@usrenalcare.com,8/31/2020,"USRC VOORHEES, LLC",1000 HADDONFIELD BERLIN ROAD,"VOORHEES, NJ  08043",Profit - LLC,Dr. DEVANG LODHAVIA,,6/17/2020,
NJ25002,END STAGE RENAL DIALYSIS,25002,"U.S. RENAL CARE, MARLTON DIALYSIS","US RENAL CARE, MARLTON DIALYSIS","9 EVES DRIVE, SUITE 170", ,EVESBORO,NJ,08053,"EVESBORO, NJ  08053",BURLINGTON,(856) 355-8996,(856) 355-8997,,12/31/2020,"USRC MARLTON, LLC","5851 LEGACY CIRCLE, SUITE 900","PLANO, TX  75024",Profit - LLC,Ms. LOLA OGUNTADE,,6/17/2020,
NJ31C0001161,AMBULATORY SURGICAL CENTER,23028,"UNION COUNTY SURGERY CENTER, L.L.C.","UNION COUNTY SURGERY CENTER, LLC",950 WEST CHESTNUT STREET, ,UNION,NJ,07083,"UNION, NJ  07083",UNION,(908) 688-2700,(908) 688-7424,dholley@ascunion.com,11/30/2020,"UNION COUNTY SURGERY CENTER, L.L.C.",950 WEST CHESTNUT STREET,"UNION, NJ  07083",Profit - LLC,Ms. DEBBI HOLLEY,,6/17/2020,
NJ24207,AMBULATORY SURGICAL CENTER,24207,"UNION SURGERY CENTER,  LLC","UNION SURGERY CENTER,  LLC",1000 GALLOPING HILL ROAD, ,UNION,NJ,07083,"UNION, NJ  07083",UNION,(908) 258-7666,(908) 258-7654,ipark3848@gmail.com,12/31/2020,"UNION SURGERY CENTER, LLC",1000 GALLOPING HILL ROAD,"UNION, NJ  07083",Profit - LLC,Ms. LINDA BARATTA,,6/17/2020,
NJ24483,AMBULATORY SURGICAL CENTER,24483,UNIVERSITY CENTER FOR AMBULATORY SURGERY,UNIVERSITY CENTER FOR AMBULATORY SURGERY,2 WORLDS FAIR DRIVE, ,SOMERSET,NJ,08873,"SOMERSET, NJ  08873",SOMERSET,(732) 748-1117,(732) 748-1134,cbrown@sovms.com,7/31/2020,UNIVERSITY CENTER FOR AMBULATORY SURGERY LLC,2 WORLDS FAIR DRIVE,"SOMERSET, NJ  08873",,. KARI O'ROURKE,,6/17/2020,
NJ25220,GENERAL ACUTE CARE HOSPITAL,25220,UNIVERSITY HOSPITAL,UNIVERSITY HOSPITAL,240 CENTRAL AVE, ,EAST ORANGE,NJ,07018,"EAST ORANGE, NJ  07018",ESSEX,(973) 266-4401,          ,,6/30/2020,UNIVERSITY HOSPITAL,"150 BERGEN STREET, D346","NEWARK, NJ  07103",Non-Profit - LLC,. SHEREEF ELNAHAL,,6/17/2020,
NJ10702,GENERAL ACUTE CARE HOSPITAL,10702,UNIVERSITY HOSPITAL,UNIVERSITY HOSPITAL,150 BERGEN ST, ,NEWARK,NJ,07101,"NEWARK, NJ  07101",ESSEX,(973) 972-0871,(973) 972-6943,kastanjn@uhnj.org,3/31/2021,UNIVERSITY HOSPITAL,"150 BERGEN STREET, D346","NEWARK, NJ  07103",Non-Profit - LLC,. SHEREEF ELNAHAL,,6/17/2020,519
NJ25214,GENERAL ACUTE CARE HOSPITAL,25214,UNIVERSITY HOSPITAL,UNIVERSITY HOSPITAL ,1 CONVENTION BOULEVARD, ,ATLANTIC CITY,NJ,08401,"ATLANTIC CITY, NJ  08401",ATLANTIC,(973) 972-0871,          ,kastanjn@uhnj.org,6/30/2020,UNIVERSITY HOSPITAL,"150 BERGEN STREET, D346","NEWARK, NJ  07103",Non-Profit - LLC,. SHEREEF ELNAHAL,,6/17/2020,
NJ25213,GENERAL ACUTE CARE HOSPITAL,25213,UNIVERSITY HOSPITAL,UNIVERSITY HOSPITAL ,97 SUNFIELD AVENUE, ,EDISON,NJ,08837,"EDISON, NJ  08837",MIDDLESEX,(973) 972-0871,          ,kastanjn@uhnj.org,6/30/2020,UNIVERSITY HOSPITAL,"150 BERGEN STREET, D346","NEWARK, NJ  07103",Non-Profit - LLC,. SHEREEF ELNAHAL,,6/17/2020,
NJ1167,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1169,UNIVERSITY HOSPITAL AMBULATORY CARE CENTER,UNIVERSITY HOSPITAL AMBULATORY CARE CENTER,140 BERGEN STREET, ,NEWARK,NJ,07101,"NEWARK, NJ  07101",ESSEX,(973) 972-5658,(973) 972-6943,hamstra@umdnj.edu,3/31/2021,UNIVERSITY HOSPITAL,"150 BERGEN STREET, D346","NEWARK, NJ  07103",Non-Profit - LLC,Ms. NANCY HAMSTRA,,6/17/2020,
NJ1275,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1275,UNIVERSITY IMAGING,UNIVERSITY IMAGING,246 HAMBURG TURNPIKE, ,WAYNE,NJ,07470,"WAYNE, NJ  07470",PASSAIC,(973) 595-1300,(973) 790-7397,MENDRZYCJ@SJHMC.ORG,10/31/2020,ST. JOSEPH'S UNIVERSITY MEDICAL CENTER,703 MAIN STREET,"PATERSON, NJ  07503",Non-Profit - Religious Affiliation,Mr. KEVIN SLAVIN,,6/17/2020,
NJ24679,AMBULATORY CARE FACILITY,24679,"UNIVERSITY ORTHOPAEDIC ASSOCIATES, LLC","UNIVERSITY ORTHOPAEDIC ASSOCIATES, LLC",2 WORLDS FAIR DRIVE, ,SOMERSET,NJ,08873,"SOMERSET, NJ  08873",SOMERSET,(732) 537-0909,(732) 564-9034,darleenc@uognj.com,7/31/2020,"UNIVERSITY ORTHOPAEDIC ASSOCIATES, L.L.C.",2 WORLDS FAIR DRIVE,"SOMERSET, NJ  08873",Profit - LLC,Ms. DARLEEN CACCAVALE,,6/17/2020,
NJ24293,AMBULATORY CARE FACILITY,24293,UNIVERSITY RADIOLOGY AT ROBERT WOOD JOHNSON LLC,UNIVERSITY RADIOLOGY AT ROBERT WOOD JOHNSON LLC,10 PLUM STREET, ,NEW BRUNSWICK,NJ,08901,"NEW BRUNSWICK, NJ  08901",MIDDLESEX,(732) 249-4410,(732) 249-1208,marcel.pirovano@univrad.com,2/28/2021,"UNIVERSITY RADIOLOGY AT ROBERT WOOD JOHNSON, LLC",10 PLUM STREET,"NEW BRUNSWICK, NJ  08901",Profit - LLC,Ms. LINDA WHITE,R.N.,6/17/2020,
NJ22518,AMBULATORY CARE FACILITY,22518,"UNIVERSITY RADIOLOGY AT TRINITAS, LLC","UNIVERSITY RADIOLOGY AT TRINITAS, LLC",415 MORRIS AVENUE, ,ELIZABETH,NJ,07208,"ELIZABETH, NJ  07208",UNION,(908) 351-7600,(908) 351-4406,marcel.pirovano@univrad.com,8/31/2020,"UNIVERSITY RADIOLOGY AT TRINITAS, L.L.C.",415 MORRIS AVENUE,"ELIZABETH, NJ  07208",Profit - LLC,Ms. LINDA WHITE,R.N.,6/17/2020,
NJ22867,AMBULATORY CARE FACILITY,22867,"UNIVERSITY RADIOLOGY GROUP, P.C.","UNIVERSITY RADIOLOGY GROUP, PC",3900 PARK AVENUE, ,EDISON,NJ,08820,"EDISON, NJ  08820",MIDDLESEX,(732) 548-6800,(732) 548-6290,marcel.pirovano@univrad.com,2/28/2021,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Ms. MARY JANE PULEIO,,6/17/2020,
NJ23473,AMBULATORY CARE FACILITY,23473,"UNIVERSITY RADIOLOGY GROUP, P.C.","UNIVERSITY RADIOLOGY GROUP, PC",210 W ST GEORGES AVENUE, ,LINDEN,NJ,07036,"LINDEN, NJ  07036",UNION,(908) 587-0035,(908) 587-0037,marcel.pirovano@univrad.com,11/30/2020,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Ms. NICOLE CAIVANO,,6/17/2020,
NJ22954,AMBULATORY CARE FACILITY,22954,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC","900 WEST MAIN STREET, SUITES G AND I", ,FREEHOLD,NJ,07728,"FREEHOLD, NJ  07728",MONMOUTH,(732) 462-1900,(732) 462-1848,marcel.pirovano@univrad.com,5/31/2021,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Ms. DANA MARTYN,,6/17/2020,
NJ23118,AMBULATORY CARE FACILITY,23118,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC",699 TEANECK ROAD, ,TEANECK,NJ,07666,"TEANECK, NJ  07666",BERGEN,(201) 836-2500,(201) 836-8495,marcel.pirovano@univrad.com,5/31/2021,"UNIVERSITY RADIOLOGY GROUP, PC",699 TEANECK ROAD,"TEANECK, NJ  07666",,Mr. MARCEL PIROVANO,,6/17/2020,
NJ22243,AMBULATORY CARE FACILITY,22243,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC",483 CRANBURY ROAD, ,EAST BRUNSWICK,NJ,08816,"EAST BRUNSWICK, NJ  08816",MIDDLESEX,(732) 390-0030,(732) 238-9514,marcel.pirovano@univrad.com,5/31/2021,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Ms. MARY JANE PULEIO,,6/17/2020,
NJ22244,AMBULATORY CARE FACILITY,22244,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC",260-264 AMBOY AVENUE, ,METUCHEN,NJ,08840,"METUCHEN, NJ  08840",MIDDLESEX,(732) 548-2322,(732) 548-3392,marcel.pirovano@univrad.com,9/30/2020,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Ms. JAYSHRI DIXIT,,6/17/2020,
NJ22478,AMBULATORY CARE FACILITY,22478,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC",16 MOUNTAIN BOULEVARD, ,WARREN,NJ,07059,"WARREN, NJ  07059",SOMERSET,(908) 769-7200,(908) 769-9141,marcel.pirovano@univrad.com,5/31/2021,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Mr. RANDY GERSTL,,6/17/2020,
NJ22852,AMBULATORY CARE FACILITY,22852,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC",2128 KINGS HIGHWAY, ,OAKHURST,NJ,07755,"OAKHURST, NJ  07755",MONMOUTH,(732) 493-8444,(732) 493-4185,marcel.pirovano@univrad.com,6/30/2021,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Ms. LORI MOCCARDI,,6/17/2020,
NJ22906,AMBULATORY CARE FACILITY,22906,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC","2315 HIGHWAY 34, BLDG A, SUITE C", ,MANASQUAN,NJ,08736,"MANASQUAN, NJ  08736",MONMOUTH,(732) 282-9120,(732) 282-9123,marcel.pirovano@univrad.com,9/30/2020,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Mrs. ANTOINETTE AGRESTA,,6/17/2020,
NJ23327,AMBULATORY CARE FACILITY,23327,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC",33 MONROE STREET, ,BRIDGEWATER,NJ,08807,"BRIDGEWATER, NJ  08807",SOMERSET,(908) 725-1291,(908) 725-8335,marcel.pirovano@univrad.com,5/31/2021,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Mr. RANDY GERSTL,,6/17/2020,
NJ22938,AMBULATORY CARE FACILITY,22938,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC",75 VERONICA AVENUE, ,SOMERSET,NJ,08873,"SOMERSET, NJ  08873",SOMERSET,(732) 246-0060,(732) 545-0758,marcel.pirovano@univrad.com,5/31/2021,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Ms. LINDA WHITE,R.N.,6/17/2020,
NJ23343,AMBULATORY CARE FACILITY,23343,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC",3822 RIVER ROAD, ,POINT PLEASANT,NJ,08742,"POINT PLEASANT, NJ  08742",OCEAN,(732) 892-1200,(732) 892-1202,marcel.pirovana@univrad.com,6/30/2021,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Ms. DANA MARTYN,,6/17/2020,
NJ23961,AMBULATORY CARE FACILITY,23961,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC",111 UNION VALLEY ROAD, ,MONROE TOWNSHIP,NJ,08831,"MONROE TOWNSHIP, NJ  08831",MIDDLESEX,(732) 390-0040,(609) 395-1718,marcel.pirovano@univrad.com,11/30/2020,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Mr. ALBERTO GOLDSZAL,,6/17/2020,
NJ24425,AMBULATORY CARE FACILITY,24425,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC","1 ROBERTSON DRIVE, SUITE 16", ,BEDMINSTER,NJ,07921,"BEDMINSTER, NJ  07921",SOMERSET,(908) 234-0205,(908) 470-3680,marcel.pirovano@univrad.com,11/30/2020,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Mr. MARCEL PIROVANO,,6/17/2020,
NJ24776,AMBULATORY CARE FACILITY,24776,"UNIVERSITY RADIOLOGY GROUP, PC","UNIVERSITY RADIOLOGY GROUP, PC",235 FRANKLIN AVENUE, ,NUTLEY,NJ,07110,"NUTLEY, NJ  07110",ESSEX,(732) 390-0040,(732) 390-1856,marcel.pirovano@univrad.com,9/30/2020,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Ms. MARY JANE PULEIO,,6/17/2020,
NJ23274,AMBULATORY CARE FACILITY,23274,"UNIVERSITY RADIOLOGY, PC","UNIVERSITY RADIOLOGY, PC","833 LACEY ROAD, UNITS #2 AND #3", ,FORKED RIVER,NJ,08731,"FORKED RIVER, NJ  08731",OCEAN,(609) 242-2334,(609) 242-2402,marcel.pirovano@univrad.com,11/30/2020,"UNIVERSITY RADIOLOGY GROUP, P.C.",579A CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - Corporation,Mr. MARCEL PIROVANO,,6/17/2020,
NJ24749,AMBULATORY CARE FACILITY,24749,UNIVERSITY RADIOLOGY-ATLANTIC LLC,UNIVERSITY RADIOLOGY-ATLANTIC LLC,48 NORTH GILBERT STREET, ,TINTON FALLS,NJ,07753,"TINTON FALLS, NJ  07753",MONMOUTH,(732) 530-5750,(732) 530-5848,marcel.pirovano@univrad.com,5/31/2021,UNIVERSITY RADIOLOGY-ATLANTIC LLC,48 NORTH GILBERT STREET,"TINTON FALLS, NJ  ",Profit - LLC,Ms. DANA MARTYN,,6/17/2020,
NJR24573,SURGICAL PRACTICE,R24573,UNIVERSITY REPRODUCTIVE ASSOCIATES,UNIVERSITY REPRODUCTIVE ASSOCIATES,214 TERRACE AVENUE, ,HASBROUCK HEIGHTS,NJ,07604,"HASBROUCK HEIGHTS, NJ  07604",BERGEN,(201) 288-6330,(201) 288-6331,pmcgovern@uranj.com,6/30/2019,UNIVERSITY REPRODUCTIVE ASSOCIATES,214 TERRACE AVENUE,"HASBROUCK HEIGHTS, NJ  07604",Profit - Corporation,. MARY FENNAR,,6/17/2020,
NJ31C0001017,AMBULATORY SURGICAL CENTER,71274,UNIVERSITY SURGICENTER,UNIVERSITY SURGICENTER,561 CRANBURY ROAD, ,EAST BRUNSWICK,NJ,08816,"EAST BRUNSWICK, NJ  08816",MIDDLESEX,(732) 390-4300,(732) 390-0556,paula.zuckerman@scasurgery.com,3/31/2021,"EAST BRUNSWICK SURGERY CENTER, LLC",561 CRANBURY ROAD,"EAST BRUNSWICK, NJ  08816",Profit - LLC,Ms. PAULA ZUCKERMAN,,6/17/2020,
NJR24626,SURGICAL PRACTICE,R24626,UNIVERSITY UROLOGY ASSOCIATES OF NJ,UNIVERSITY UROLOGY ASSOCIATES OF NJ,"1374 WHITEHORSE-HAMILTON SQUARE ROAD, SUITE 101", ,HAMILTON,NJ,08690,"HAMILTON, NJ  08690",MERCER,(609) 581-5900,(518) 581-5901,mo@uuanj.com,4/30/2021,LAKEWOOD UROLOGY LLC,"1374 WHITEHORSE HAMILTON SQUARE ROAD, SUITE 101","HAMILTON, NJ  08690",,Dr. PARU JADEJA,,6/17/2020,
NJ24190,AMBULATORY CARE FACILITY,24190,"UNIVERSITY WOMEN'S IMAGING, LLC","UNIVERSITY WOMEN'S IMAGING, LLC","1051 W SHERMAN AVENUE, SUITE 4A", ,VINELAND,NJ,08360,"VINELAND, NJ  08360",CUMBERLAND,(856) 691-3333,(856) 691-3350,ROSIE.CABRERA@YMAIL.COM,12/31/2017,DR. NAJAM KAZMI,"1051 W WHERMAN AVENUE, SUITE 4A","VINELAND, NJ  08360",Profit - LLC,Dr. NAJAM KAZMI,M.D.,6/17/2020,
NJ25187,END STAGE RENAL DIALYSIS,25187,UPPER DEERFIELD DIALYSIS,UPPER DEERFIELD DIALYSIS,21 CORNWELL DRIVE, ,BRIDGETON,NJ,08302,"BRIDGETON, NJ  08302",CUMBERLAND,(856) 453-2380,(856) 453-2385,torshika.gaye@davita.com,3/31/2021,"CLAYMOUNT DIALYSIS, LLC",2000 16TH STREET,"DENVER, CO  80202",,Ms. TORSHIKA GAYE,,6/17/2020,
NJ25037,AMBULATORY CARE FACILITY,25037,"URGENT CARE IMAGING CENTER, LLC",URGENT CARE IMAGING CENTER LLC,"107 CEDAR GROVE LANE, SUITE 108", ,SOMERSET,NJ,08873,"SOMERSET, NJ  08873",SOMERSET,(201) 774-9990,(732) 412-7225,FAMAASH@GMAIL.COM,2/28/2021,"URGENT CARE IMAGING CENTER, LLC",54 PEOPLES LINE ROAD,"SOMERSET, NJ  08873",Profit - LLC,Mr. MUHAMMAD FAISAL KHAN,,6/17/2020,
NJ25140,AMBULATORY CARE FACILITY,25140,"URGENT MEDICAL CARE AND MRI, LLC","URGENT MEDICAL CARE AND MRI, LLC",3540 JOHN F KENNEDY BOULEVARD, ,JERSEY CITY,NJ,07307,"JERSEY CITY, NJ  07307",HUDSON,(201) 333-2221,          ,,4/30/2021,"URGENT MEDICAL CENTER AND MRI, LLC",3540 JOHN F KENNEDY BOULEVARD,"JERSEY CITY, NJ  07307",,Dr. MICHAEL HADDAD,,6/17/2020,
NJR24643,SURGICAL PRACTICE,R24643,"UROLOGY GROUP OF NEW JERSEY, LLC",UROLOGY GROUP OF NEW JERSEY,"534 AVENUE E, SUITE 2A", ,BAYONNE,NJ,07002,"BAYONNE, NJ  07002",HUDSON,(973) 323-1320,(973) 323-1329,akrieger@UGNJ.COM,6/30/2019,UROLOGY GROUP OF NEW JERSEY LLC,"375 MT PLEASANT AVENUE, SUITE 250","WEST ORANGE, NJ  07052",Profit - LLC,Dr. ALAN KRIEGER,,6/17/2020,
NJR24637,SURGICAL PRACTICE,R24637,"UROLOGY GROUP OF NEW JERSEY, LLC",UROLOGY GROUP OF NEW JERSEY,"375 MT PLEASANT AVENUE, SUITE 250", ,WEST ORANGE,NJ,07052,"WEST ORANGE, NJ  07052",ESSEX,(973) 323-1320,(973) 323-1329,RDREYFUSS@UGNJ.COM,6/30/2019,UROLOGY GROUP OF NEW JERSEY LLC,"375 MT PLEASANT AVENUE, SUITE 250","WEST ORANGE, NJ  07052",Profit - LLC,Dr. ALAN KRIEGER,,6/17/2020,
NJ1504,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1504,VALLEY CENTER FOR HEALTH & WELLNESS,VALLEY CENTER FOR HEALTH & WELLNES,1400 MACARTHUR BOULEVARD, ,MAHWAH,NJ,07430,"MAHWAH, NJ  07430",BERGEN,(201) 291-6305,(201) 291-6194,,10/31/2020,THE VALLEY HEALTH SYSTEM,223 NORTH VAN DIEN AVENUE,"RIDGEWOOD, NJ  07450",Non-Profit - Hospital,Ms. AUDREY MEYERS,Pres. & CEO,6/17/2020,
NJ317008,HOME HEALTH AGENCY,22381,VALLEY HOME CARE INC.,VALLEY HOME CARE INC.,"15 ESSEX ROAD, SUITE #301", ,PARAMUS,NJ,07652,"PARAMUS, NJ  07652",BERGEN,(201) 291-6000,(201) 291-6260,dfry@valleyhealth.com,11/30/2020,"VALLEY HOME CARE, INC",15 ESSEX ROAD,"PARAMUS, NJ  07652",Non-Profit - Corporation,Ms. DONNA FRY,,6/17/2020,
NJ311522,HOSPICE CARE PROGRAM,22376,VALLEY HOSPICE,VALLEY HOSPICE,15 ESSEX ROAD, ,PARAMUS,NJ,07652,"PARAMUS, NJ  07652",BERGEN,(201) 291-6000,(201) 291-6260,dfry@valleyhealth.com,3/31/2021,"VALLEY HOME CARE, INC",15 ESSEX ROAD,"PARAMUS, NJ  07652",Non-Profit - Corporation,Ms. DONNA FRY,,6/17/2020,
NJ10211-1019,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1019,VALLEY HOSPITAL COMMUNITY CARE,VALLEY HOSPITAL COMMUNITY CARE,1114 GOFFLE ROAD, ,HAWTHORNE,NJ,07506,"HAWTHORNE, NJ  07506",PASSAIC,(973) 427-7676,(973) 427-7476,jlorino@valleyhealth.com,10/31/2020,THE VALLEY HEALTH SYSTEM,223 NORTH VAN DIEN AVENUE,"RIDGEWOOD, NJ  07450",Non-Profit - Hospital,Ms. AUDREY MEYERS,Pres. & CEO,6/17/2020,
NJ1018,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1018,VALLEY HOSPITAL EMPLOYEE HEALTH,VALLEY HOSPITAL EMPLOYEE HEALTH,15 ESSEX ROAD, ,PARAMUS,NJ,07652,"PARAMUS, NJ  07652",BERGEN,(201) 291-6430,(201) 291-6437,jlorino@valleyhealth.com,10/31/2020,THE VALLEY HEALTH SYSTEM,223 NORTH VAN DIEN AVENUE,"RIDGEWOOD, NJ  07450",Non-Profit - Hospital,Ms. AUDREY MEYERS,Pres. & CEO,6/17/2020,
NJ24808,AMBULATORY SURGICAL CENTER,24808,VANGUARD SURGICAL CENTER,VANGUARD SURGICAL CENTER,113 ESSEX STREET, ,MAYWOOD,NJ,07607,"MAYWOOD, NJ  07607",BERGEN,(201) 291-9100,(201) 291-1076,fiona.stephan@vangardsurgicalcenter.com,12/31/2020,"VANGUARD ASC, LLC",113 ESSEX STREET,"MAYWOOD, NJ  07607",,Ms. FIONA STEPHAN,,6/17/2020,
NJ23311,AMBULATORY SURGICAL CENTER,23311,VANTAGE SURGERY CENTER,VANTAGE SURGERY CENTER,350 YOUNG AVENUE, ,MOORESTOWN,NJ,08057,"MOORESTOWN, NJ  08057",BURLINGTON,(609) 654-5795,(609) 654-5828,kpritchard@vscnj.com,6/30/2020,VANTAGE SURGICAL ASSOCIATES LLC,350 YOUNG AVENUE,"MOORESTOWN, NJ  08057",Profit - LLC,Ms. KATHLEEN PRITCHARD,,6/17/2020,
